account_balance,transaction_frequency_sent,transaction_frequency_received,unique_contacts_sent,unique_contacts_received,min_transaction_sent,max_transaction_sent,avg_transaction_sent,min_transaction_received,avg_transaction_received,total_sent,total_received,contract_interaction,contract_creation,fraud_label,sent_to_received_ratio,avg_sent_to_avg_received,interaction_with_contract_ratio
0.075,5.48,13900.63,1.0,2.0,0.0,0.0,0.0,0.003,0.003261,0.0,0.075,0.0,0,0,0.0,0.0,0.0
0.01816782,17339.13,44006.28,7.0,2.0,0.0,0.097,0.031066,0.015,0.078543,0.2174626,0.23563042,0.0,0,0,0.9228578017302803,0.395478212162489,0.0
0.00084002,1876.99,690.72,1.0,2.0,0.042369,0.220736,0.131553,0.021395,0.087982,0.263105795,0.263945815,0.0,0,0,0.9967796882974523,1.4950563687607965,0.0
0.000471636,0.0,0.0,1.0,1.0,0.216225,0.216225,0.216225,0.216697,0.216697,0.216225364,0.216697,0.0,0,0,0.9977774783463386,0.9977757986590188,0.0
0.01864421,0.0,12252.86,1.0,3.0,0.19979,0.19979,0.19979,0.008434,0.072811,0.19979,0.21843421,0.0,0,0,0.9146042369353713,2.7435767155078894,0.0
0.006770221,631.96,3761.0,1.0,2.0,0.095395,0.101971,0.099147,0.099073,0.100501,0.4957327,0.502502921,0.0,0,0,0.9865073698274119,0.9864293460417268,0.0
0.000882,11111.27,0.0,2.0,1.0,0.115288,0.147478,0.131383,0.263649,0.263649,0.26276661,0.26364861,0.0,0,0,0.9966168372047475,0.4983065247156364,0.0
0.00062,0.0,0.0,1.0,1.0,0.217573,0.217573,0.217573,0.218193,0.218193,0.21757328,0.21819328,0.0,0,0,0.9971127840058134,0.9971127803009123,0.0
0.000581532,0.0,0.0,1.0,1.0,0.118138,0.118138,0.118138,0.118719,0.118719,0.118137668,0.1187192,0.0,0,0,0.9950178052239887,0.9950222776238324,0.0
0.0022,0.0,0.0,1.0,1.0,0.0778,0.0778,0.0778,0.08,0.08,0.0778,0.08,0.0,0,0,0.9723784526934133,0.9723784526934133,0.0
0.00062,0.0,0.0,1.0,1.0,0.056687,0.056687,0.056687,0.057307,0.057307,0.05668681,0.05730681,0.0,0,0,0.9890084601707596,0.9890084966065914,0.0
0.03308699,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.033087,0.033087,0.0,0.03308699,0.0,0,0,0.0,0.0,0.0
0.002247,5.66,54431.37,5.0,1.0,0.00101,0.024952,0.008098,0.00143,0.008548,0.04049074,0.04273774,0.0,0,0,0.9472018871640931,0.9462491236270156,0.0
0.00112995,45862.76,0.0,2.0,1.0,0.0,0.02387,0.011935,0.025,0.025,0.02387005,0.025,0.0,0,0,0.9544202319072371,0.4772091163534586,0.0
